Date,Place,Street,Railroad,Description
16/02/16 9:22,GEORGIA,PURVIS CIRCLE,"Heart of Georgia Railroad, Inc.",VEHICLE WAS TRAVELING SOUTH AND THE TRAIN WAS TRAVELING WEST. THE VEHICLE PULLED ONTO THE TRACKS AND THE FRONT END OF THE VEHICLE WAS STRUCK BY THE TRAIN. THE ENGINEER WAS BLOWING THE HORN AND RINGING THE BELL AND ALL HEAD LIGHTS AND DITCH LIGHTS WERE WORKING ON BRIGHT. THE DRIVER OF THE VEHICLE STATED SHE DID NOT SEE THE TRAIN UNTIL IT WAS TOO LATE.
16/02/16 9:05,LOUISIANA,OIL FIELD RD,BNSF Railway Company,
16/02/16 7:56,LOUISIANA,LA 360,Union Pacific Railroad Company,SEMI TRUCK STALLED ON THE CROSSING.
15/02/16 23:50,"HOOVER, ALABAMA",SHANNON ROAD,CSX Transportation,W08412 STRUCK A CAR AT THE SHANNON OXMOOR RD CROSSING. CAR APPEARED TO BE LEFT ON TRACKS BY OWNER.PROTECTION ALSO AT CROSSING: ADVANCE WARNING AND PAVEMENT MARKINGS (STOP LINES & RR XING SYMBOLS).
15/02/16 20:50,"N/A, TENNESSEE",PRIVATE,Norfolk Southern Corporation,NS TRAIN T35T315 STRUCK A HWY-USER AT A HWY-GRADE CROSSING.
15/02/16 19:20,"SHIVELY, KENTUCKY",CRUMS LANE,Paducah & Louisville Railway Company,#38 & #39 HIGHWAY USER AGE AND GENDER IS UNKNOWN BECAUSE AFTER IMPACT DRIVER DROVE OFF. AND #48 IT IS UNKNOWN HOW MANY OCCUPANTS WERE IN THE VEHICLE SINCE THE DRIVER DROVE OFF AFTER IMPACT. HIGHWAY DRIVER FAILED TO OBSERVE TRAFFIC SIGNS AND CROSSING GATES. DROVE THRU THE GATES AND STRUCK TRAIN. AFTER IMPACT THE HIGHWAY USER LEFT THE SCENE OF THE ACCIDENT. NO POLICE REPORT WAS FILED DUE TO THE DRIVER LEAVING THE SCENE.
14/02/16 21:20,"MUNCIE, INDIANA",LINCOLN STREET,CSX Transportation,1994 BUICK LESABRE WAS TRAVELING NORTH ON LINCOLN STREET AND FAILED TO STOP AT CROSSING AND ENTEREDTHE J98914S RIGHT-OF-WAY. PROTECTION ALSO AT CROSSING: ADVANCE WARNING.
14/02/16 20:21,OKLAHOMA,BRITTON-WESTERN,BNSF Railway Company,DRIVER AGE UNKNOWN 41:UNOCCUPIED VEHICLE
14/02/16 16:40,"JANESVILLE, WISCONSIN",PEARL STREET,"Wisconsin & Southern Railroad, L.L.C.",DRIVER OF VEHICLE WAS NORTHBOUND ON PEARL STREET. DRIVER DID NOT NOTICE THE FLASHING RED RAILROAD SIGNALS AND CONTINUED ONTO THE TRACKS. TRAIN WAS COMING THROUGH INTERSECTION CAUSING VEHICLE TO GET HIT BY LOCOMOTIVE. DRIVER WAS ISSUED A CITATION FOR FAILURE TO STOP.
14/02/16 8:55,"CHARLOTTE, NORTH CAROLINA",WEST DALLAS ROAD,CSX Transportation,"AFTER STOPPING AT THE SF 348.14 DALLAS RD. TRACK INSPECTOR PROCEEDED TO TRAVERSE THE CROSSING AFTERTRAFFIC CLEARED. AFTER ENTERING THE ROAD CROSSING, APPROXIMATELY HALF WAY, EMPLOYEE NOTICED AN OSP APPROACHING AT A HIGH RATE OF SPEED AND NOT SLOWING DOWN. EMPLOYEE STOPPED AND ATTEMPTED TO BACK OUTOF THE CROSSING BUT WAS UNABLE TO AVOID THE COLLISION. POLICE WERE CALLED AND THE OSP CITED. DAMAGES SUSTAINED TO BOTH VEHICLES. PROTECTION ALSO AT CROSSING: ADVANCE WARNING AND PAVEMENT MARKINGS (ST"
14/02/16 4:00,"PASADENA, TEXAS",LAWNDALE,Union Pacific Railroad Company,PICKUP TRUCK DID NOT STOP AND STRUCK A RAIL CAR WHILE IT WAS OCCUPYING THE CROSSING.
13/02/16 23:20,"GARY, INDIANA",CO LINE RD,CSX Transportation,L32413 WAS STRUCK ON ITS SIDE BY A VEHICLE AT CROSSING. PROTECTION ALSO AT CROSSING: PAVEMENT MARKINGS (STOP LINES & RR XING SYMBOLS). AGE AND GENDER OF DRIVER UNKNOWN.
13/02/16 19:15,"ENOREE, SOUTH CAROLINA",MARY HANNAH RD,CSX Transportation,F78613 STRUCK A CAR THAT WAS IN THE FOUL OF THE TRACK. THE DRIVER ATTEMPTED TO RUN BEHIND THE CAR BEFORE IT WAS STRUCK BUT ENDED UP GETTING INVOLVED IN THE INCIDENT. HE WAS LATER TRANSPORTED TO THE HOSPITAL. THERE WAS NO DAMAGE TO THE ENGINE AND NEITHER CREW MEMBER REQUESTED ASSISTANCE. PROTECTIONALSO AT CROSSING: ADVANCE WARNING.
13/02/16 12:50,"N/A, MARYLAND",CO 574/MONDEL RD,Norfolk Southern Corporation,NS TRAIN 290P112 STRUCK A HWY-USER AT A HWY-GRADE CROSSING. DRIVER'S AGE VERIFIED.
13/02/16 9:31,"NEW ALBANY, INDIANA",SR-111/RIVER RD.,Norfolk Southern Corporation,NS TRAIN 61RD912 STRUCK A HWY-USER AT A HWY-GRADE CROSSING. DRIVER'S AGE UNKNOWN.
13/02/16 9:10,"GRETNA, VIRGINIA",SR 792/NORTHSIDE DR/,Norfolk Southern Corporation,NS TRAIN 77WP212 STRUCK A HWY-USER (PEDESTRIAN) AT A HWY-GRADE CROSSING. HWY-USER'S AGE VERIFIED.
13/02/16 7:45,"WYLIE, TEXAS",SPRINGWELL PKWY,Kansas City Southern Railway Company,A VAN ROLLED THRU THE GATE AND STRUCK THE SIDE OF THE TRAIN AT MP 582.27 IN THE MIDWEST SUBDIVISION. DAMAGE REPORTED TO A HAZMAT RAILCAR.
13/02/16 4:29,MISSISSIPPI,PRIVATE,BNSF Railway Company,
12/02/16 20:30,"WATERLOO, IOWA",COLUMBIA ST,"Chicago, Central & Pacific Railroad Company","DRIVER FAILED TO YIELD FOR CREW SHOVING OVER THE COLUMBIA ST. CROSSING WITH A SHOVING PLATFORM, FLASHING RED LIGHT AND TRAIN WHISTLE. DRIVER WAS CITED BY LOCAL AUTHORITIES. CROSSING MARKED WITH CROSSBUCKS AND YIELD SIGNS."
12/02/16 19:00,"MOOREFIELD, ARKANSAS",AR 233,"Missouri & Northern Arkansas Railroad Company, Inc.",THE MNTBANW-12 WAS SOUTHBOUND WHEN THEY OBSERVED A TRACTOR TRAILER STOPPED ON THE CROSSING. THE ENGINEER PLACED THE TRAIN BRAKES IN EMERGENCY AND THE TRAIN STRUCK THE REAR O FTHE TRAILER PUSHING IT INTO THE SIGNAL MAST.
12/02/16 17:10,"DETROIT, MICHIGAN",MELVILLE STREET,Norfolk Southern Corporation,NS TRAIN BD07 WAS STRUCK BY A HWY-USER AT A HWY-GRADE CROSSING. DRIVER'S INFORMATION UNKNOWN.
12/02/16 17:00,"N/A, VIRGINIA",PRIVATE,Norfolk Southern Corporation,NS TRAIN V36V412 STRUCK A HWY-USER AT A HWY-GRADE CROSSING. DRIVER'S INFORMATION UNKNOWN.
12/02/16 13:40,"HEADLAND, ALABAMA",LOG LANE ROAD,"Bay Line Railroad, L.L.C., The","WHILE TRAVELING ON MAINLINE, TRAIN STRUCK MOTOR VEHICLE AT LOG LANE ROAD CROSSING. DRIVER FAILED TOSTOP. ONLY APPARENT DAMAGE WAS TAIL LIGHT ON MOTOR VEHICLE. POLICE WERE NOTIFIED. NO KNOWN INJURIES. DRIVER AGE AND GENDER UNKNOWN."
12/02/16 12:30,WISCONSIN,985TH ST.,BNSF Railway Company,
12/02/16 7:50,"HOLLY, MICHIGAN",RATTALEE LAKE RD,CSX Transportation,"Q32211 STRUCK A VEHICLE THAT WAS SLIDING ON ICE/SNOW AS IT APPROACHED THE ROAD CROSSING, THEN THE DRIVER FLED THE SCENE. PROTECTION ALSO AT CROSSING: ADVANCE WARNING. AGE AND GENDER OF MOTORIST UNKNOWN."
12/02/16 0:35,"PAULINE, KANSAS",57TH STREET,Amtrak (National Railroad Passenger Corporation),TRAIN 3 OPERATING WITH LOCOMOTIVES E/167-E/40 AND 9 CARS STRUCK AN OCCUPIED VEHICLE THAT OPERATED AROUND THE LOWERED CROSSING GATES.
11/02/16 18:25,"LOUISVILLE, KENTUCKY",28TH STREET,Paducah & Louisville Railway Company,PAL CREW WAS OPERATING ON NS LINE WHEN APPROACHING 28TH ST CROSSING HIGHWAY USER FAILED TO OBSERVE HIGHWAY SIGNALS AND DID NOT STOP. HIGHWAY USER STRUCK TRAIN. AMBULANCE TRANSPORTED DRIVER TO HOSPITAL WITH UNKNOWN INJURIES.
11/02/16 15:00,"RUSSELLVILLE, ARKANSAS",ARKANSAS AVE.,Union Pacific Railroad Company,HIGHWAY USER WENT AROUND THE GATES AND WAS STRUCK BY THE BALLAST REGULATOR. HIGHWAY USER'S ACTIONS: WENT AROUND THE GATE - MOVING
11/02/16 9:20,IOWA,150TH STREET,Union Pacific Railroad Company,HIGHWAY USER WENT THROUGH THE ACTIVATED CROSSING GATES.
10/02/16 20:04,"BURLINGTON, WASHINGTON",GREENLEAF ST,Amtrak (National Railroad Passenger Corporation),"TRAIN 517 WAS STRUCK BY AN OCCUPIED VEHICLE AT MP 71.93, GREENLEAF ST CROSSING. THE VEHICLE FAILEDTO YIELD TO TRAIN. AMTRAKS EQUIPMENT DAMAGE IS $1,800.00."
10/02/16 16:30,WISCONSIN,PRIVATE CROSSING,Wisconsin Central Ltd. (also Railway),SNOWMOBILE ATTEMPTED TO CROSS THE TRACKS AT A PRIVATE DNR SNOWMOBILE CROSSING IN FRONT OF THE ONCOMING TRAIN. THE OPERATOR STOPPED ON THE TRACKS AND GOT OFF THE MACHINE BEFORE THE TRAIN IMPACT THE SNOWMOBILE. CROSSING WAS MARKED WITH PRIVATE SIGNS. NO INJURIES REPORTED.
10/02/16 15:43,"LOS ANGELES, CALIFORNIA",DE SOTO ST,Amtrak (National Railroad Passenger Corporation),"TRAIN 777 OPERATING WITH LOCOMOTIVE E/458 AND 6 CARS STRUCK AN UNOCCUPIED VEHICLE ON THE TRACK AT MP 446.73, DE SOTO AVE CROSSING. THE VEHICLE BECAME LODGED IN THE CROSSING DUE TO A BROKEN AXEL JUSTAS IT WAS GOING OVER THE TRACK. AMTRAKS EQUIPMENT DAMAGE IS $6,000.00."
10/02/16 7:10,"EAST ST LOUIS, ILLINOIS",FRONT STREET,Terminal Railroad Association Of St. Louis,TRRA 303 SHOVING SOUTH ON CARGILL LEAD WITH 67 CARS FOR CARGILL. CREW STOPPED AT CROSSING IN VAN TO PROTECT CROSSING. SOUTHBOUND TRACTOR TRAILER SLOWED AT CROSSBUCKS BUT CONTINUED ACROSS GRADE CROSSING AND WAS STRUCK BY THE SOUTHBOUND TRAIN CONSIST.
10/02/16 6:08,TEXAS,FARMERS AVE.,BNSF Railway Company,
09/02/16 18:40,"ALEXANDER CITY, ALABAMA",CITY/BIBB ST,Norfolk Southern Corporation,NS TRAIN 935A508 WAS STRUCK BY A HWY-USER AT A HWY-GRADE CROSSING.
09/02/16 16:35,"STOCKTON, CALIFORNIA",SAN JOAQUIN ST,BNSF Railway Company,41: WALKED AROUND GATES
09/02/16 11:45,"SAGINAW, MICHIGAN",WILLIAMS,Lake State Railway Company,"AUTO STRUCK PARALLEL TO TRACK. DRIVER WAS NOT IN VEHICLE. TRAIN SAW AUTO, BRAKED AND USED HORN AND BELL BUT COULD NOT STOP IN TIME PUSHED CAR. POLICE REPORT DID NOT INDICATE THE AGE OF THE DRIVER BECAUSE SHE WAS NOT IN THE CAR AT THE TIME OF THE INCIDENT."
09/02/16 11:15,"LOS ANGELES, CALIFORNIA",37TH & ALAMEDA ST,Union Pacific Railroad Company,WHILE THE CROSSING WAS BEING PROTECTED A SEMI TRUCK DECIDED TO TRY AND BEAT THE TRAIN AS IT WAS SHOVING BACK. TRAIN ENDED UP CLIPPING THE TRUCK AND DAMAGING THE LICENSE PLATE.
08/02/16 23:32,"N/A, PENNSYLVANIA",PRIVATE,Norfolk Southern Corporation,NS TRAIN H29H208 WAS STRUCK BY A HWY-USER AT A HWY-GRADE CROSSING.
08/02/16 22:30,"N/A, KENTUCKY",MAHER ROAD,Norfolk Southern Corporation,NS TRAIN 200T808 WAS STRUCK BY A HWY-USER AT A HWY-GRADE CROSSING.
08/02/16 18:55,"HUGO, OKLAHOMA",A STREET,Kiamichi Railroad Company LLC,KRCMAWE WAS EASTBOUND AT HUGO WHEN THE TRAIN STRUCK A MOTOR VEHICLE AT A STREET. THE VEHICLE APPROACHED THE CROSSING AND DID NOT STOP.
08/02/16 11:44,"BERKELEY, CALIFORNIA",BANCROFT WAY,Amtrak (National Railroad Passenger Corporation),"TRAIN 535 OPERATING WITH LOCOMOTIVE E/175 AND 4 CARS STRUCK A PEDESTRIAN AT MP 5.9, BANCROFT WAY CROSSING. THERE WAS NO EQUIPMENT DAMAGE."
08/02/16 3:33,MICHIGAN,BYRON RD,Grand Trunk Western Railroad Incorporated,INTOXICATED DRIVER FAILED TO STOP FOR THE ACTIVATED GATE AND FLASHERS AT THE BYRON ROAD CROSSING AND STRUCK THE STANDING RAILCARS. NO INJURIES WERE REPORTED.
08/02/16 0:25,"BLOOMINGTON, ILLINOIS",MS7560/ALLEN ST.,Norfolk Southern Corporation,NS TRAIN 115D506 STRUCK A HWY-USER (PEDESTRIAN) AT A HWY-GRADE CROSSING.
07/02/16 22:22,"BELLEVUE, NEBRASKA",15TH AVE,Amtrak (National Railroad Passenger Corporation),"TRAIN 5 OPERATING WITH LOCOMOTIVES E/47-E/122 AND 8 CARS STRUCK AN UNOCCUPIED VEHICLE THAT WAS LEFTABANDONED ON THE TRACKS AT MP 7.65, A PRIVATE CROSSING. THE AGE AND GENDER OF THE DRIVER WAS NOT AVAILABLE."
07/02/16 3:50,"MISSOURI CITY, TEXAS",FONDREN RD,Union Pacific Railroad Company,DRIVER WENT THROUGH THE ACTIVATED GATES AND THEN FLED THE SCENE RIGHT AFTER THE INCIDENT OCCURRED.
07/02/16 2:48,"LOUISIANA, MISSOURI",SO CAROLINA ST,BNSF Railway Company,DRIVER AGE UNKNOWN 41: UNOCCUPIED VEHICLE
07/02/16 1:05,"HOLLYWOOD, FLORIDA",MONROE STREET,Florida East Coast Railway Company,TRAIN STRUCK VEHICLE THAT WENT AROUND THE SIGNAL ARMS.
06/02/16 1:55,"NORTHBROOK, ILLINOIS",SHERMER ROAD,Canadian Pacific Railway Company,"TRESPASSER FOUND FATALLY INJURED BETWEEN CP 1 AND CP 2 ON THE SHERMAN CUT OFF AT APPROXIMATELY 5 AMON SATURDAY, FEBRUARY 6 BY CP TRAIN 281-06. AFTER INVESTIGATION, DOWNLOAD OF CAMERA ON 470-03, THROUGH NORTH BROOK IL AT 01:55 IT SHOWING THIS INDIVIDUAL (WEARING RED SWEATSHIRT) STANDING IN THE STREET NEXT TO THE CROSSING GATES AT SHERMER ROAD CROSSING. BODY WAS LATER DISCOVERED APPROXIMATELY 1.5 MILES AWAY AND APPEARED TO HAVE BEEN DRAGGED. PERSONAL POSSESSION (PHONE, WALLET, JACKET) WERE FOUND"
06/02/16 0:20,"MARTINS FERRY, OHIO",SR-7/GRANT AVE.,Norfolk Southern Corporation,NS TRAIN C19C505 WAS STRUCK BY A HWY-USER AT A HWY-GRADE CROSSING.
05/02/16 14:10,"GREEN BRIER, TENNESSEE",INDUSTRIAL DRIVE,CSX Transportation,Q02904 WAS TRAVELING SOUTH WHEN APPROACHING INDUSTRIAL DRIVE AT MP 00H189.1. A CAR THAT WAS TRAVELING EAST ENTERED THE CROSSING AND WAS STRUCK BY Q02904.
05/02/16 12:35,TEXAS,PRIVATE,BNSF Railway Company,DRIVER AGE UNKNOWN
05/02/16 11:25,"TACOMA, WASHINGTON",NIM YARD,Tacoma Municipal Belt Line Railway,Q32: THIS IS AN ACCESS ROAD INSIDE THE GATES OF A PORT TERMINAL. PAVEMENT MARKINGS ON BOTH SIDES OF CROSSING.
05/02/16 10:10,"MACEDON, NEW YORK",WAYNEPORT RD,CSX Transportation,Q39304 STRUCK VEHICLE THAT WAS DRIVEN BY ELDERLY DRIVER AT WAYNEPORT RD. PROTECTION AT CROSSING ALSO INCLUDE: ADVANCE WARNINGS.
05/02/16 7:30,"BESSEMER, ALABAMA",8TH AVE,CSX Transportation,"M72905 WAS APPROACHING BESSEMER YARD WITH A SINGLE LITE ENGINE, WHEN A VEHICLE PULLED IN FRONT OF ENGINE CAUSING THE ACCIDENT. PROTECTION ALSO AT CROSSING: ADVANCE WARNING AND PAVEMENT MARKINGS (STOPLINES)."
04/02/16 22:07,"PALMETTO, GEORGIA",HARPER ST,CSX Transportation,WHITE FEMALE TRAVELING ON HWY 29 PALMETTO GA MADE A LEFT HAND TURN IN FRONT OF Q18404. PROTECTION ALSO AT CROSSING: ADVANCE WARNING.
04/02/16 18:00,MINNESOTA,10TH AVE,BNSF Railway Company,
04/02/16 12:45,"SCHUYLER, NEBRASKA",B ST,Union Pacific Railroad Company,HIGHWAY USER WAS STUCK ON CROSSING PRIOR TO GATES DESCENDING DUE TO ICE BUILDUP FROM THE SNOW STORM. HIGHWAY USER'S ACTIONS: STOPPED ON CROSSING (BEFORE GATES DESCENDED)
04/02/16 10:00,NEBRASKA,COUNTY ROAD,BNSF Railway Company,
04/02/16 8:23,"N/A, MISSOURI",MO 2,Kansas City Southern Railway Company,A SEMI TRUCK STRUCK THE SIDE OF AN ENGINE AS IT TRAVELED OVER THE CROSSING. THE DRIVER REPORTED THAT THE SUN WAS IN HIS EYES AND HE DIDNT SEE THE TRAIN.
04/02/16 6:15,"BARBERTON, OHIO",WATERLOO RD,CSX Transportation,VEHICLE WENT AROUND ANOTHER VEHICLE STOPPED AT THE CROSSING WHERE THE GATES AND LIGHTS WERE PROPERLY FUNCTIONING AND WAS STRUCK BY Q25303.
04/02/16 2:35,"MORGANTOWN, WEST VIRGINIA",M-TOWN LOCK&DAM,CSX Transportation,T04503 STRUCK UNOCCUPIED VEHICLE. AGE OF DRIVER UNKNOWN.
03/02/16 21:20,MICHIGAN,WEYBRIDGE DR.,Grand Trunk Western Railroad Incorporated,THE CLINTON TOWNSHIP POLICE DEPT. ADVISED THAT AN INTOXICATED TRESPASSER HAD ATTEMPTED TO BEAT THE TRAIN AT THE WEYBRIDGE CROSSING AND WAS HIT. SIGNALS WERE ACTIVATED AND CREW WAS UNAWARE OF THE INCIDENT. BODY WAS FOUND NEXT TO THE TRACKS AT THE CROSSING HOURS AFTER THE INCIDENT.
03/02/16 18:08,"RANCHO CORDOVA, CALIFORNIA",NIMBUS ROAD,Sacramento County Regional Transit District,"TRAIN WAS REVERSE RUNNING ON SINGLE TRACK ON SIGNAL BYPASS; OPERATOR FAILED TO FOLLOW SIGNAL BYPASSPROCEDURE FOR SPEED AND APPROACH TO GRADE CROSSING. CROSSING GATES WERE NOT ACTIVATED AS TRAIN APPROACHED. VEHICLE PROCEEDED FROM A GREEN LEFT TURN SIGNAL INTO THE PATH OF THE TRAIN, UNAWARE OF THEREVERSE RUNNING TRAIN, AND WAS STRUCK BY THE TRAIN."
03/02/16 16:25,"BRANDON, NEBRASKA",COUNTY ROAD 316,"Nebraska, Kansas, Colorado Railnet","NKCR CREW WAS MOVING LIGHT POWER EAST ON THE WALLACE SUB WHEN A PERKINS COUNTY ROAD GRADER APPROACHED THE CROSSING. CREW NOTICED THE GRADER AND SLOWED DOWN WHEN THE GRADER THEN PULLED ONTO THE CROSSING, STOPPED AND THEN PROCEEDED. ENGINEER PLACED THE TRAIN INTO EMERGENCY BEFORE STRIKING THE REAR OF THE GRADER."
03/02/16 15:55,TEXAS,TOWER RD,BNSF Railway Company,
03/02/16 15:35,"CITY OF COMMERCE, CALIFORNIA",26TH ST,BNSF Railway Company,
03/02/16 15:30,"SAN ANTONIO, TEXAS",W.W. WHITE ROAD,Union Pacific Railroad Company,TRAIN ALREADY ENTERED THE CROSSING AND THEN THE VEHICLE SPED UP AND CUT RIGHT IN FRONT OF THE TRAIN.
03/02/16 14:37,"GRAND ISLAND, NEBRASKA",WALNUT ST.,Union Pacific Railroad Company,VEHICLE WAS STUCK ON THE CROSSING PRIOR TO THE GATES DESCENDING. HIGHWAY USER'S ACTIONS: STOPPED ON CROSSING (BEFORE GATES DESCENDED)
03/02/16 13:15,"BRIGHTON, COLORADO",BROMLEY LANE,Union Pacific Railroad Company,"VEHICLE WAS STOPPED AT THE ACTIVATED GATES, WHEN ANOTHER VEHICLE REAR ENDED THEM AND PUSHED THEM ONTO THE CROSSING."
03/02/16 11:20,"ASHWAUBENON, WISCONSIN",LARSEN RD,Wisconsin Central Ltd. (also Railway),VEHICLE WAS TRAVELING EASTBOUND WHEN THE DRIVER PASSED A VEHICLE THAT WAS STOPPED AT THE LARSEN RD.CROSSING FOR THE ONCOMING TRAIN. VEHICLE WAS HIT AS IT WENT IN FRONT OF THE TRAIN. CROSSING MARKEDWITH CROSSBUCKS AND YIELD SIGNS.
03/02/16 9:05,"ROCKLEDGE, FLORIDA",CARVER STREET,Florida East Coast Railway Company,DRIVER WAS DRIVING A SEMI-TRUCK WITH AN EMPTY CHASSIS AND HAD DRIVEN OVER THE CROSSING AND STOPPED AT THE STOP SIGN. HE NOTICED IN HIS REAR VIEW MIRROR THAT THE SIGNAL ARMS WERE ACTIVATING AND DESCENDING AND ATTEMPTED TO MOVE FORWARD BUT WAS UNABLE TO DUE TO HEAVY TRAFFIC. TRAIN STRUCK THE REAR OF THE CHASSIS THAT HE WAS PULLING. DRIVER REFUSED MEDICAL ATTENTION AND ADVISED HE WAS UNINJURED.
03/02/16 6:20,"NORRISTOWN, PENNSYLVANIA",PUBILC,Southeastern Pennsylvania Transportation Authority,TRAIN 6212 HIT TAXI STUCK ON RAIL TRACKS.
03/02/16 5:00,"SEATTLE, WASHINGTON",FLORIDA STREET,Union Pacific Railroad Company,VEHICLE STOPPED BRIEFLY AND THEN PROCEEDED OVER THE CROSSING AND THE TRAIN CLIPPED THE BUMPER OF THE VEHICLE.
03/02/16 2:23,"GRAND ISLAND, NEBRASKA",LINCOLN AVE,Union Pacific Railroad Company,VEHICLE WAS STUCK ON CROSSING DUE TO EXTREME WEATHER CONDITIONS PRIOR TO THE GATES DESCENDING. DRIVER VACCATED THE VEHICLE AND WAS FOUND WALKING DOWN THE ROAD. AGE & GENDER UNKNOWN HIGHWAY USER'S ACTIONS: STOPPED ON CROSSING (BEFORE GATES DESCENDED)
02/02/16 23:45,"HAMMOND, INDIANA",CITY ST/SIBLEY ST,Norfolk Southern Corporation,NS TRAIN 234L402 STRUCK A HWY-USER AT A HWY-GRADE CROSSING. DRIVER'S INFORMATION UNKNOWN.
02/02/16 20:30,"LOUISVILLE, KENTUCKY",DAVY CROCKETT TRAIL,Paducah & Louisville Railway Company,HIGHWAY USER FAILED TO OBSERVED TRAFFIC SIGN AND DID NOT STOP. HIGHWAY STRUCK TRAIN. NO INJURIES REPORTED.
02/02/16 19:15,"NORWOOD, NEW JERSEY",BROADWAY,CSX Transportation,A WHITE VAN HEADING EAST OF THE BROADWAY CROSSING TURNED SOUTH BEFORE CLEARING THE CROSSING AND BECAME STUCK IN THE RIGHT OF WAY AND WAS STRUCK FROM THE REAR BY SOUTHBOUND Q43302. THERE WERE NO OCCUPANTS IN THE VEHICLE AT THE TIME AND THE CREW WAS NOT INJURED.
02/02/16 14:45,"HOPKINS, MINNESOTA",EXCELSIOR BLVD,Twin City & Western Railroad,CAR STOPPED ON TRACKS TRAIN PULLING SLOWLY AND HIT CAR IN PROCESS OF STOPPING NO INJURIES.
02/02/16 13:25,"GREEN BAY, WISCONSIN",MAIN ST,Wisconsin Central Ltd. (also Railway),VEHICLE STOPPED FOR THE ACTIVATED CROSSING SIGNALS AT AT THE MAIN STREET CROSSING AND THEN PULLED OUT IN FRONT OF THE ONCOMING TRAIN AND WAS HIT.
02/02/16 8:27,CALIFORNIA,TEMPERANCE AVE,Union Pacific Railroad Company,SEMI TRUCK WAS STOPPED ON CROSSING PRIOR TO THE GATES DESCENDING.
02/02/16 7:21,"COVINA, CALIFORNIA",SUN FLOWER AVENUE,Southern California Regional Rail Authority,"PEDESTRIAN WALKED IN FRONT OF TRAIN 311 AT SUN FLOWER AVENUE GRADE CROSSING, AND WAS FATALLY INJURED. UPDATED 5/4/16: CONFIRMED SUICIDE, CASE 2016-00916."
01/02/16 16:44,"N/A, GEORGIA",S 1861/WAREHOUSE ROA,Norfolk Southern Corporation,NS TRAIN G41G901 STRUCK A HWY-USER AT A HWY GRADE CROSSING. AGE VERIFIED.
01/02/16 11:55,"ROANOKE, VIRGINIA",PRIVATE,Norfolk Southern Corporation,NS TRAIN 195V401 STRUCK A HWY-USER AT A HWY-GRADE CROSSING.
01/02/16 9:21,"GREEN BRIER, TENNESSEE",EXPERIMENT STA RD,CSX Transportation,Q59731 WHILE OPERATING SOUTH STRUCK VEHICLE AT MP 00H193.61.
01/02/16 1:00,ARKANSAS,RICHWOODS ROAD,Union Pacific Railroad Company,SEMI TRUCK DRIVER WAS ATTEMPTING TO TURN AROUND ON THE COUNTY ROAD AND ENDED UP DROPPING HIS REAR WHEELS OFF THE ROAD FOULING THE TRACKS.
31/01/16 19:45,"LA PORTE, INDIANA",CITY ST/TIPTON ST,Norfolk Southern Corporation,NS TRAIN 67ZB329 STRUCK A HWY-USER (PEDESTRIAN) AT A HWY-GRADE CROSSING.
30/01/16 1:45,"CHICAGO, ILLINOIS",PRIVATE,Norfolk Southern Corporation,TRAIN BS51 STRUCK A HWY-USER AT A HWY-GRADE CROSSING. DRIVER'S INFORMATION UNKNOWN.
29/01/16 17:10,SOUTH DAKOTA,183 ST,BNSF Railway Company,
29/01/16 14:45,"BAD AXE, MICHIGAN",THOMPSON ROAD,Huron & Eastern Railway,HESR 820-29 WAS OPERATING WITH TWO LOCOMOTIVES PULLING 5X5 WHEN IT WAS STRUCK ON THE CONDUCTOR SIDEOF THE LEAD LOCOMOTIVE BY A VEHICLE THAT DID NOT STOP AT THE CROSSING.
29/01/16 8:20,"PITTSBURGH, PENNSYLVANIA",FOURTH STREET,CSX Transportation,"Q29929 WAS STRUCK BY A MOTOR VEHICLE ON THE FUEL TANK OF THE CSXT 4723, NO RUPTURE OR FUEL LEAK. PROTECTION ALSO AT CROSSING: ADVANCE WARNING. AGE AND GENDER OF DRIVER UNKNOWN."
29/01/16 8:10,"N/A, GEORGIA",CS/FAIRVIEW AVE,Norfolk Southern Corporation,NS TRAIN 929G829 STRUCK A HWY-USER AT A HWY-GRADE CROSSING.
29/01/16 7:40,"DALLAS, TEXAS",WEST WESTMORELAND RD,Union Pacific Railroad Company,PICKUP TRUCK WAS TRAPPED ON CROSSING BY TRAFFIC WHEN THE TRAIN CLIPPED THE BACK END OF THE TRUCK.
29/01/16 2:40,"MERIDIAN, MISSISSIPPI",49TH AVENUE/49TH AVE,Norfolk Southern Corporation,NS TRAIN 314A728 WAS STRUCK BY A HWY-USER AT A HWY-GRADE CROSSING.
28/01/16 20:16,"IRVING, TEXAS",GILBERT ROAD,Trinity Railway Express (previously TREX),"FEMALE TRESPASSER WAITED ALONG THE RIGHT OF WAY FOR TRAIN TO CROSS GILBERT ROAD, WHEN TRAIN WAS CLOSE SHE LAID DOWN IN FRONT OF THE TRAIN AND WAS STRUCK CAUSING AMPUTATION OF BOTH FEET."
28/01/16 15:26,"OKLAHOMA CITY, OKLAHOMA",92ND STREET,BNSF Railway Company,
28/01/16 9:30,"N/A, PENNSYLVANIA",PRIVATE,Norfolk Southern Corporation,NS TRAIN N28C428 STRUCK A HWY-USER AT A HWY-GRADE CROSSING.
27/01/16 21:57,"SHREVEPORT, LOUISIANA",ALTA VISTA STREET,Union Pacific Railroad Company,#32 WARNING DEVICES: YIELD SIGN
